,scenario_1
0,20.111565987994837
1,37.50639362136627
2,35.47780254052513
3,34.999632422133296
4,36.317306075111205
5,38.472490699784686
6,42.2606598372055
7,46.204284879658275
8,47.749540980667255
9,46.99812041897206
10,46.71619964509898
11,46.5257682276219
12,47.07606934237911
13,47.257634139018066
14,46.55206828722506
15,46.19575285424449
16,47.1087463072999
17,48.54488504600523
18,49.065811086213785
19,49.588690517644736
20,50.741259082942896
21,51.26727980001619
22,50.70031984869013
23,48.98898239628061
24,49.019627659631624
25,46.27698114590996
26,44.54065021455167
27,43.51706311253047
28,43.358196818397865
29,44.05136095666312
30,46.413722594209716
31,48.746521130737435
32,50.35879097106486
33,50.68631028483892
34,49.935040553281084
35,49.310458050808364
36,49.30883310744871
37,48.76134055610031
38,48.12754397243096
39,46.27344723559947
40,45.471764926391394
41,45.99224202644381
42,45.42286619952131
43,45.942730893769294
44,47.88973904086568
45,49.21935752726323
46,47.72119438380025
47,45.63450501518361
48,45.206439922013615
49,42.30807376515907
50,40.41377062580758
51,39.3245390384844
52,39.273122876632094
53,40.31399001512379
54,43.410383630521636
55,47.48869722719501
56,49.354748957770724
57,49.30142824749444
58,49.42857915729097
59,48.930199590615025
60,48.521942845414515
61,48.2354341927542
62,47.160169313580276
63,46.468617471710985
64,45.35069596379748
65,45.53028669780372
66,45.52388179646335
67,45.585230292804944
68,47.139265021377255
69,48.82994839387389
70,49.106127161428645
71,47.61200279797626
72,47.863593740064644
73,45.82802911957119
74,44.35455807165517
75,43.26155596765226
76,43.829581476767366
77,45.10351100131539
78,46.898061870675996
79,49.62043029222168
80,50.81748587979273
81,50.20833381975835
82,49.63646018196709
83,49.387529590856936
84,49.109694990531814
85,49.01071531948367
86,48.44377891622539
87,47.23909709438929
88,46.49490508865912
89,46.615692479034074
90,46.36311266226709
91,46.7206139702021
92,47.12653816005294
93,48.33900855238695
94,48.676554068811676
95,47.030190897247586
96,47.044314214522274
97,44.83091435371101
98,42.885607282360795
99,41.66072765223099
100,41.639219787953145
101,42.58781459584499
102,43.69466443781407
103,45.62089577619573
104,47.10054248092905
105,46.9291986020983
106,46.60760550655333
107,46.65166774464071
108,46.89571482176788
109,46.75932200120827
110,45.29436580630567
111,44.289025470170756
112,44.140271403982325
113,44.53770815791753
114,45.20975400019809
115,46.35173458283633
116,47.30286584042659
117,48.2316317594529
118,48.201516206873535
119,46.84587420025814
120,47.01707358194234
121,44.95961712697808
122,43.41405027833978
123,42.18170455998752
124,42.167792370732315
125,42.369541154807536
126,42.707629152303205
127,42.97306529424009
128,44.34611911174131
129,44.504924606874994
130,45.15863662447498
131,45.19170675755057
132,44.88596358383809
133,44.380332433293226
134,43.67720303231324
135,42.45537321889978
136,41.861278812323256
137,42.127125184592785
138,42.09130181864251
139,41.83979937072526
140,41.816857955203446
141,42.84203443051542
142,43.08294635064163
143,41.811774294547476
144,40.88521280647463
145,38.66779010009217
146,36.70105444724151
147,36.005039436640125
148,37.13090980507558
149,38.6428566533413
150,40.15767268481268
151,40.87200229983646
152,41.819816934677526
153,42.57014332915745
154,42.9561167201278
155,43.111167529683236
156,43.428727932902355
157,43.801365050750775
158,44.172264635914125
159,43.801144910863314
160,42.66075501532807
161,42.38276097485905
162,42.26257829589473
163,42.364551730163335
164,42.931684276497066
165,43.98216757539596
166,44.0585392450155
167,43.694861659784976
168,45.20759121484325
169,44.1960550114715
170,42.86195559388972
171,42.26758970512888
172,42.961444512708795
173,43.76668404765349
174,45.07124361291781
175,46.61177656227492
176,47.68358313069267
177,48.544778191910886
178,48.43667029092378
179,48.37242375884447
180,48.385220602873886
181,48.331587536514014
182,47.64786090632184
183,47.09085818693557
184,46.869837217118295
185,47.2694526254703
186,48.07214787748466
187,48.70027387890488
188,49.1877096344999
189,49.809698570632094
190,49.232058212650635
191,47.89299449393061
192,47.533015574826535
193,44.54763553000868
194,42.065164103641116
195,40.11242782521899
196,39.872693099187686
197,39.90809850192764
198,41.2058001993034
199,43.92148551814631
200,45.998318733351574
201,45.82407025223103
202,45.815996882385164
203,45.95457835882358
204,46.22483673085995
205,46.77973803019301
206,46.12477976184727
207,44.75751973459636
208,44.90127452443226
209,46.63608410086994
210,46.43883794381652
211,46.69291152861882
212,47.705913714448414
213,49.01964415472156
214,48.107477405770474
215,45.21449459659724
216,45.26859781951241
217,42.55329394370054
218,40.50792887518348
219,39.949611001998214
220,40.27504095429617
221,41.43034245198672
222,44.45099965246271
223,48.726918422399386
224,50.52812639238058
225,49.180533217852066
226,48.90648668008149
227,49.46474307901839
228,49.404423711622506
229,49.66561123396924
230,48.64897333113684
231,46.980330554133374
232,47.784827819923265
233,47.8366800973035
234,47.735712124388165
235,47.77819865259642
236,48.389115115692476
237,50.07367286679594
238,48.429716270261316
239,45.10305259459526
240,44.7552131033621
241,42.54207285240084
242,41.14008974132958
243,39.822013457523
244,40.16121276572221
245,41.26637648091101
246,43.56898347444753
247,47.212559858726884
248,48.70923716395234
249,48.12698703366902
250,47.53415822697494
251,47.249924764618136
252,47.49955478078363
253,46.91427803761866
254,45.10784509488483
255,43.36588159468555
256,42.37151568329237
257,42.46661447367676
258,42.283583732564836
259,42.855716152086536
260,44.020259466175645
261,45.21990335726124
262,43.803001975708256
263,41.981936774840825
264,41.057237766222016
265,37.79552502554008
266,34.829089370687804
267,32.98298487161793
268,32.49572386721532
269,33.061625677717174
270,34.721238633734075
271,38.486335341170836
272,41.04649711394912
273,40.459430955282926
274,40.272531477855225
275,39.234840965391236
276,39.467884534528835
277,40.04445441990323
278,37.83929414373102
279,37.3188144887536
280,36.729587903294096
281,37.43335392361877
282,37.35386523491322
283,36.72977989475717
284,37.43268459986174
285,38.384994171172934
286,37.39597095514414
287,36.706860446616616
288,37.02340083229822
289,32.47064136185637
290,31.684465142401933
291,29.946468308424173
292,29.612033347074714
293,30.41730024369608
294,31.77697085938764
295,32.5665272182862
296,35.15623259226343
297,35.718473943381376
298,36.32004868942847
299,35.81912264643148
300,35.467647109460444
301,35.263129676399465
302,33.24202622208237
303,31.52299458949678
304,30.146942436697184
305,30.22537177140117
306,31.35458580639016
307,30.69031828074431
308,31.227613340866775
309,34.40556213949192
310,36.29367833645136
311,33.94109383620136
312,32.01188461288831
313,28.924636866139686
314,25.886821344522627
315,25.698226217002794
316,26.18935905327166
317,26.72627998568214
318,26.51621440500179
319,27.189812281141478
320,27.557838443275017
321,28.277850241623597
322,29.50184453456455
323,29.805034773210128
324,30.06046543725412
325,29.335374528881005
326,27.560092491821944
327,27.097287528480155
328,25.11676658550341
329,25.65426989586251
330,24.997043319427657
331,24.576930606229286
332,26.825287568585132
333,31.381681130736972
334,35.17709724127765
335,32.95944552744878
336,28.35120690898117
337,25.057820635071863
338,22.280650790233093
339,20.940136673413814
340,20.56783033134069
341,21.880785179683024
342,26.544308130460674
343,29.706654930722205
344,33.79675948112707
345,35.226820343555936
346,33.55454258171042
347,34.71400274991302
348,36.04020229351615
349,37.450772374553466
350,37.49861144168177
351,36.38702567541904
352,36.239518755433245
353,36.76895041135904
354,36.57536266892675
355,36.94002892720354
356,37.40753849901551
357,40.91321540503161
358,39.65438811611834
359,36.79035994226012
360,37.64916946009381
361,35.099595569655364
362,33.30719599211903
363,32.88178413533571
364,34.22881439860283
365,36.609529141340964
366,38.76470449620562
367,41.48524520563927
368,44.07031231778907
369,44.373901761852856
370,43.75572364795408
371,44.16376673082911
372,45.28775810913892
373,45.49861100186184
374,44.931738451150906
375,43.803427783994486
376,43.074966068071014
377,43.27220795904345
378,42.820132699410685
379,43.69868724550518
380,44.54709164115725
381,45.990692852957594
382,45.4117599939587
383,43.279645884754196
384,42.433576644550136
385,40.664102566936556
386,38.69857927131293
387,37.680179247733456
388,38.309565956569735
389,39.6527997999827
390,42.01342257142889
391,44.5312802793488
392,45.76956847430319
393,45.39020015207595
394,43.51067582576718
395,43.71094936565029
396,43.78495614941111
397,44.00510173476921
398,43.6395334611725
399,42.942308895309836
400,42.486101631844726
401,42.95325616898073
402,42.504720125759604
403,43.0552018235162
404,43.128251756831816
405,43.95132099351103
406,42.56543727961835
407,40.545990221126466
408,40.569169061504766
409,38.230605127269136
410,36.98343947242076
411,36.45720972869418
412,37.18573505168529
413,38.28913819803274
414,40.41928247522076
415,43.48779436734464
416,45.15938608649682
417,46.24659616946494
418,45.14732789378874
419,44.601532138312706
420,44.31250433038498
421,44.39795776362912
422,43.804168509749985
423,42.83942647577392
424,42.34730277329683
425,42.50160760809277
426,41.91874884329069
427,42.35763345011634
428,42.49586635932079
429,43.30611306511666
430,41.77326784922302
431,38.629438827481
432,38.63015018747348
433,35.83172384468094
434,34.03110996878147
435,34.465517013187565
436,36.345204430782076
437,38.23755919874897
438,40.670144249347906
439,43.21699011734423
440,44.57703134308317
441,45.535061137159666
442,45.249453459244855
443,44.19606891962398
444,44.35814179238116
445,44.450308631133446
446,43.87241921262254
447,43.0183872362541
448,42.20020671188276
449,41.059342810311534
450,40.68682787824001
451,41.888118873559726
452,42.313057570994374
453,42.11409005366812
454,42.25791086976969
455,42.24222145092723
456,41.9958812045742
457,40.569990972758916
458,39.497057942093896
459,39.14976606973317
460,40.3715817820261
461,42.008901231057344
462,42.210069392265815
463,41.413397658631666
464,42.95740344010291
465,45.09110531938316
466,45.20227600905603
467,45.04335289462272
468,45.03382503239718
469,44.42838340452289
470,43.813539346720994
471,42.69448133954147
472,41.70943076889493
473,41.457151256390866
474,40.86608880408877
475,40.908413569482406
476,41.69311124951304
477,44.089184492457804
478,44.91409846704583
479,44.671412891282436
480,43.617956109476076
481,42.01461077869111
482,40.65753327512656
483,39.79842815381978
484,39.4576354484552
485,39.61450094294167
486,39.44356519042704
487,0.03206854585179703
488,0.03206885169459105
489,34.274529553201084
490,42.09699377366516
491,42.01125963692093
492,41.80815329786864
493,42.10366273544685
494,41.957124540906314
